airline,price,duration,stops,departure,arrival,returns,datetime
Air EuropaOperado por Air Europa Express,238 €,26 h 55 min,1 escala,17:05,20:00+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",243 €,5 h 35 min,2 escalas,7:55,13:30,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,247 €,9 h 45 min,1 escala,10:15,20:00,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",256 €,25 h 55 min,1 escala,11:35,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",260 €,14 h 50 min,2 escalas,22:40,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,262 €,10 h 50 min,1 escala,9:30,20:20,ida y vuelta,2023-04-22T21:31:08.108502
Tap Air PortugalOperado por Bulgaria Air,264 €,14 h 35 min,1 escala,20:10,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Tap Air PortugalOperado por Bulgaria Air,264 €,12 h 30 min,1 escala,22:15,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,269 €,12 h 30 min,2 escalas,7:30,20:00,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,269 €,28 h 40 min,2 escalas,15:20,20:00+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,276 €,22 h 15 min,1 escala,21:45,20:00+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",276 €,14 h 50 min,2 escalas,22:40,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
Tap Air PortugalOperado por Bulgaria Air,286 €,23 h 40 min,1 escala,11:05,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
"Tap Air PortugalOperado por Bulgaria Air,Bulgaria Air",292 €,18 h 25 min,1 escala,16:20,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,293 €,25 h 30 min,1 escala,10:15,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,297 €,25 h,2 escalas,10:45,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,299 €,5 h 25 min,1 escala,14:35,20:00,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",312 €,17 h 35 min,1 escala,19:55,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",326 €,14 h 50 min,2 escalas,22:40,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,331 €,25 h,1 escala,19:00,20:00+1,ida y vuelta,2023-04-22T21:31:08.108502
IberiaOperado por Air Nostrum for Iberia,340 €,1 h 10 min,Directo,15:55,17:05,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,341 €,12 h 30 min,2 escalas,7:30,20:00,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",363 €,14 h 30 min,2 escalas,23:00,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
Tap Air PortugalOperado por Bulgaria Air,374 €,21 h 10 min,1 escala,13:35,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Tap Air PortugalOperado por Bulgaria Air,394 €,16 h 50 min,1 escala,17:55,10:45+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",394 €,17 h 50 min,2 escalas,19:40,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",394 €,17 h 50 min,2 escalas,19:40,13:30+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,419 €,14 h,1 escala,21:45,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,423 €,21 h 10 min,1 escala,14:35,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,423 €,18 h 40 min,1 escala,17:05,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,423 €,16 h 45 min,1 escala,19:00,11:45+1,ida y vuelta,2023-04-22T21:31:08.108502
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",450 €,8 h,2 escalas,7:55,15:55,ida y vuelta,2023-04-22T21:31:08.108502
Aer Lingus,585 €,12 h 35 min,1 escala,10:40,23:15,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,643 €,20 h 35 min,1 escala,13:40,10:15+1,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,648 €,17 h 20 min,1 escala,22:35,15:55+1,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,655 €,15 h 45 min,1 escala,18:30,10:15+1,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,665 €,21 h 25 min,1 escala,18:30,15:55+1,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,682 €,21 h 45 min,1 escala,22:35,20:20+1,ida y vuelta,2023-04-22T21:31:08.108502
Lufthansa,1.569 €,23 h 35 min,1 escala,17:10,16:45+1,ida y vuelta,2023-04-22T21:31:08.108502
Ryanair,40 €,1 h 25 min,Directo,6:55,8:20,ida y vuelta,2023-04-22T21:31:40.270727
Ryanair,40 €,1 h 25 min,Directo,12:55,14:20,ida y vuelta,2023-04-22T21:31:40.270727
Ryanair,40 €,1 h 20 min,Directo,15:20,16:40,ida y vuelta,2023-04-22T21:31:40.270727
Iberia ExpressIberia,72 €,1 h 25 min,Directo,7:05,8:30,ida y vuelta,2023-04-22T21:31:40.270727
Ryanair,52 €,1 h 25 min,Directo,8:35,10:00,ida y vuelta,2023-04-22T21:31:40.270727
RyanairOperado por Lauda Europe,52 €,1 h 25 min,Directo,9:30,10:55,ida y vuelta,2023-04-22T21:31:40.270727
Iberia ExpressIberia,94 €,1 h 19 min,Directo,22:40,23:59,ida y vuelta,2023-04-22T21:31:40.270727
Iberia ExpressIberia,109 €,1 h 25 min,Directo,9:30,10:55,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,109 €,"Air Europa,Vueling",MAD–PMI,10:45,15:55,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,120 €,1 h 20 min,Directo,8:20,9:40,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,120 €,1 h 20 min,Directo,21:45,23:05,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",131 €,3 h 30 min,1 escala,7:55,11:25,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,139 €,1 h 20 min,Directo,10:15,11:35,ida y vuelta,2023-04-22T21:31:40.270727
